RA  DEC  b  E(B-V)  TILEID
150.1  2.182  42  0.023  1-27,442-444
179.6  0  60  0.023  28-54,445-447
183.1  0  61  0.023  55-81,448-450
189.9  61.8  55  0.013  82-108,451-453
194.75  28.2  88  0.01  109-135,454-456
210  5  62  0.027  136-162,457-459
215.5  52.5  60  0.01  163-189,460-462
217.8  34.4  68  0.013  190-216,463-465
216.3  -0.6  54  0.043  217-243,466-468
219.8  -0.6  52  0.042  244-270,469-471
218.05  2.43  55  0.034  271-297,472-474
242.75  54.98  45  0.009  298-324,475-477
241.05  43.45  48  0.013  325-351478-480
245.88  43.45  45  0.01  352-378,433-435
252.5  34.5  39  0.018  379-405,436-438
269.73  66.02  30  0.043  406-432,439-441
194.75  24.7  87  0.014  481-510
212.8  -0.6  56  0.046  511-540
269.73  62.52  58  0.036  541-570
236.1  43.45  52  0.021  571-600
